Name,Abbreviation,Email,,checked_on,bounce_check,,,,,,,,,,,,,,,,,,,,
Adala UK Cambridge,,adalauk@cusu.cam.ac.uk,,2016-09-25T10:36:11.715733,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Aegis Students Society,,aegissoc@cusu.cam.ac.uk,,2016-09-25T10:36:21.963986,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
African Prisons Project,,africanprisons@cusu.cam.ac.uk,,2016-09-25T10:36:27.441075,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Ki-Aikido Society,CUKAS,aikido@cusu.cam.ac.uk,,2016-09-25T10:36:38.976476,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Barnardo's Society,,barnardos@cusu.cam.ac.uk,,2016-09-25T10:38:24.941008,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Bulgarian Society,CUBG,bulgarian@cusu.cam.ac.uk,,2016-09-25T10:39:04.546389,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Sexpression UK: Cambridge Branch,,cambridge@sexpression.org.uk,,2016-09-25T10:40:01.662687,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Cambridge autonomous Underwater Vehicle,CAUV,cambridgeauv@cusu.cam.ac.uk,,2016-09-25T10:40:09.485596,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Cambridge Gaza Solidarity,CGS,cambridgeoccupation@live.com,,2016-09-25T10:40:31.729290,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Cambridge Hands Off Venezuela campaign,CHOV,cambridgevenezuela@cusu.cam.ac.uk,,2016-09-25T10:40:49.677799,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Campus Children's Holidays,CAMPUS,campus@cusu.cam.ac.uk,,2016-09-25T10:41:04.236596,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
UAEM Cambridge,,camuaem@cusu.cam.ac.uk,,2016-09-25T10:41:16.798690,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Cambridge Zero-Carbon Society,ZeroCarbon,camzest@cusu.cam.ac.uk,,2016-09-25T10:41:18.833299,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Cambridge Eastern Education and Development Society,CEEDS,ceeds@cusu.cam.ac.uk,,2016-09-25T10:41:59.123425,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Churchill GODS,,churchillgods@cusu.cam.ac.uk,,2016-09-25T10:43:17.424385,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
Clay Pigeon Shooting Club,CUCPSC,clayshooting@cusu.cam.ac.uk,,2016-09-25T10:43:36.269668,failed (blacklisted_internal),,,,,,,,,,,,,,,,,,,,
