Name,Acronym,Email,Bounce Check,University,RAG,First Email,From,Reply,,,,,,,,,,,,,,,,,,
Association of British and Chinese University Students,ABACUS,abacus@cusu.cam.ac.uk,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Rock Society,RockSoc,committee@rocksoc.org.uk,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
European Society,CUEuS,cueus@yem.org.uk,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
STAR: Student Action for Refugees,,custar-committee@srcf.ucam.org,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
The Cambridge Globalist,,editorinchief@cambridgeglobalist.org,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Homerton Amateur Theatrical Society,HATS,hats@cusu.cam.ac.uk,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cambridge Floorball Club,,info@cambridge-floorball.org.uk,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cambridge Carbon Footprint,CCF,info@cambridgecarbonfootprint.org,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cambridge Dancers' Club,CDC,info@cambridgedancers.org,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Ski & Snowboard Club,CUSSC,info@cussc.co.uk,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Labour Club,CULC,labour@cusu.cam.ac.uk,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cambridge Lindy Hoppers,CLH,lindyhopper@cusu.cam.ac.uk,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Amateur Dramatic Club,CUADC,president@cuadc.org,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Rock 'n' Roll,CURnR,rnr@cambridgedancers.org,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cambridge City Amnesty International,,secretary@amnestycambridge.org.uk,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Trinity College Music Society,TCMS,secretary@committee.tcms.org.uk,unknown (inconclusive),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cambridge Skeptics In The Pub,SITP,andy@cambridgeskeptics.org.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Bright Club,,andy@thinkoutreach.org,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Wireless Society,CUWS,chairman@g6uw.org,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
The Wilberforce Society,TWS,chairman@wilberforcesociety.co.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
Cam FM,,committee@camfm.co.uk,unknown (is_catchall),CAMBRIDGE,YES,,,,,,,,,,,,,,,,,,,,,
