85 Broads Club ,85 Broads Club 
9th Art Magazine ,9th Art Magazine 
CUSU Access Campaign ,CUSU Access Campaign 
Cambridge Advertising and Marketing Society ,Cambridge Advertising and Marketing Society 
African Caribbean Society (CUACS),African Caribbean Society 
Afrinspire Cambridge Student Society (ACSS),Afrinspire Cambridge Student Society 
Archaeology Graduate Society (AGS),Archaeology Graduate Society 
AIESEC Cambridge ,AIESEC Cambridge 
Arab Innovation Network (AIN),Arab Innovation Network 
Alternative Welcome ,Alternative Welcome 
Amoral Sciences Club (ASC),Amoral Sciences Club 
Ancient Literature Society (ALS),Ancient Literature Society 
Anti-Slavery International ,Anti-Slavery International 
Apotheosis Cambridge (ATCC),Apotheosis Cambridge 
Arab Society (CUArabSoc),Arab Society 
Archaeological Review from Cambridge (ARC),Archaeological Review from Cambridge 
Mathematical Society (The Archimedeans),Mathematical Society 
Australian Rules Football Club (CUARFC),Australian Rules Football Club 
Armenian Society (CUARMS),Armenian Society 
Aid & Save Animal Plant (ASAP),Aid & Save Animal Plant 
African Society of Cambridge University (ASCU),African Society of Cambridge University 
Anglo-Saxon Norse & Celtic Society (ASNaC),Anglo-Saxon Norse & Celtic Society 
Cambridge Assassins' Guild ,Cambridge Assassins' Guild 
Athletic Club (CUAC),Athletic Club 
Automobile Club (CUAC),Automobile Club 
Full Blue Racing ,Full Blue Racing 
Cockerel Badminton Club (CUcBC),Cockerel Badminton Club 
Cambridge University Baha'i Society (CUBS),Cambridge University Baha'i Society 
Ballet Club (CUBC),Ballet Club 
Fitz Barbershop ,Fitz Barbershop 
Baroque Ensemble (CUBE),Baroque Ensemble 
Basketball Club (CUBbC),Basketball Club 
Emma Big Band (ECMS),Emma Big Band 
Biological Society (BioSoc),Biological Society 
CUSU Black Students' Campaign ,CUSU Black Students' Campaign 
Israel-Palestine Forum (IPF),Israel-Palestine Forum 
Brass Band Society (CUBBS),Brass Band Society 
Bridge Club ,Bridge Club 
Bridge Se (CUBS),Bridge Se 
Brunei Society (CUBS),Brunei Society 
Buddhist Society (CUBS),Buddhist Society 
Judo Club (CUJC),Judo Club 
Men's Lacrosse Club (CULC),Men's Lacrosse Club 
Lawn Tennis Club (CULTC),Lawn Tennis Club 
Squash Rackets Club (CUSRC),Squash Rackets Club 
Trampoline Club (CUTC),Trampoline Club 
The Cafe Project ,The Cafe Project 
Leadership Development (CULD),Leadership Development 
Cambridge Neuroscience Society (CamBRAIN),Cambridge Neuroscience Society 
Christians at Uni ,Christians at Uni 
Ecology Education Society ,Ecology Education Society 
Cambridge Samulnori ,Cambridge Samulnori 
Wilderness Medicine Society (CUWMS),Wilderness Medicine Society 
"80,000 Hours ","80,000 Hours "
Cambridge Young Greens (CYG),Cambridge Young Greens 
Aerial Arts Society ,Aerial Arts Society 
The Cambridge Bubble ,The Cambridge Bubble 
Cambridge Fabian Society ,Cambridge Fabian Society 
Foodcycle Cambridge ,Foodcycle Cambridge 
Cambridge Hub ,Cambridge Hub 
Cambridge Literary Review (CLR),Cambridge Literary Review 
Cambridge Journal of Literature ,Cambridge Journal of Literature 
Marrow ,Marrow 
Cambridge PEN ,Cambridge PEN 
Horse Racing Club (CUHRC),Horse Racing Club 
Cambridge Theatre Review (CTR),Cambridge Theatre Review 
Cambridge University TV (CU-TV),Cambridge University TV 
Buddhism & Meditation Society (CUBAMS),Buddhism & Meditation Society 
East African Society (CamEAS),East African Society 
Graduate Law Society (CUGLS),Graduate Law Society 
Cambridge Neurological Society (CNS),Cambridge Neurological Society 
Social & Economic Development Society (CAMSED),Social & Economic Development Society 
Cambridge University Skateboarding Team ,Cambridge University Skateboarding Team 
Student Social Enterprise Incubator ,Student Social Enterprise Incubator 
Canoe Club (CUCC),Canoe Club 
Cantabulgarian (CantaBG),Cantabulgarian 
Capoeira Angola Cambridge (CAC),Capoeira Angola Cambridge 
Catz Film (SCCFS),Catz Film 
Caving Club (CUCC),Caving Club 
Chinese Students' Communication Society (CBridgers),Chinese Students' Communication Society 
Cambridge Chinese Classics (CamCC),Cambridge Chinese Classics 
