Brazilian jiu-jitsu society,,131192@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Vostok Society,,165791@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Christian-Muslim Dialogue Society,,232280@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Pencak Silat Society,,232280@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Indian dance society,,256154@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Shi'a Theology Society,,258807@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
French Folk Dance Society,,265751@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Students for Social Change,,292252@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Language Landscape,,299225@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
African Art Society,,310284@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Darts Team,,535890@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Sapa Jam,,536759@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Urdu Conversation Group,,536759@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Asio-European Cultural Exchange Society,,537891@alumni.soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Capoeira Society,,538445@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Translation Society,,542333@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Society of Latin American Culture,,542948@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Afghan Society,,543721@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Sikh Society,,544010@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Basketball Beyond Borders,,550115@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Pacific Society,,550406@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Mahjong Society,,554275@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
"Nigeria, Ghana and West Africa Society",,560579@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Foodbank,,565901@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Mouth Harp Society,,567199@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Common Ground Garden,,569165@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
AIESEC,,569172@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Lawyers Without Borders,,570295@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Malaysian Society,,573100@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Fashion Society,,573118@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Studio Ghibli Appreciation Society,,579929@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Korean Dance Society,,582503@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Sylheti Language Society,,582621@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Chinese Culture Society,,585883@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Anime Society,,588591@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Hindu Society,,591972@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Solidarity with Refugees and Displaced People,,592038@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Piano Society,,593316@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Counterfire,,593822@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Stop the War Coalition,,593822@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Kurdish Society,,593903@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Israel Society,,594404@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Linguistics Society,,594411@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Krishna Society,,594678@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Alternative Fashion Society,,596065@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Performative And Theatrical Arts Society,,596085@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
SOAS United,,596085@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Language Exchange Society,,596364@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Student Assembly Against Austerity,,596553@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Hummus Society,,596751@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
Poker Society,,596862@soas.ac.uk,P,London,School of Oriental and Asian Studies,NO,,,
