Name,Acronym,Email,Bounce Check,Site,RAG,First Email,From,Reply,Interested,,,,,,,,,,,,,,,,,,
"80,000 Hours",,80koxford@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
AIESEC Oxford,,oxford@aiesec.co.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Arcanian Singers,,arcadiansingersoxford@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Attaining the Peak,,admin@oxfordatp.org,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Balliol Choir,,balliolchoir@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Bang! Science Magazine,,chairman@ospl.org,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Board Games Society,,ouboardgames@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
C.S. Lewis Society,,cslewis.society@studentclubs.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
CapitOx,,admin@capitox.co.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Chabad,,info@oxfordchabad.org,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Cherwell,,chairman@ospl.org,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
China Britain Arts Association,,bella.oxon@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Classic & Historic Racing Car Club,,chrcc@hotmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Codelaborate,,hello@codelaborate.org,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Companions of the Order of Malta,,blessed.gerard.opn@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
