Name,Email,Bounce Check,University,RAG,First Email,From,Reply,Interested,,,,,,,,,,,,,,,,,,
"80,000 Hours",80koxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
AIESEC Oxford,oxford@aiesec.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Arcanian Singers,arcadiansingersoxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Attaining the Peak,admin@oxfordatp.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Balliol Choir,balliolchoir@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Bang! Science Magazine,chairman@ospl.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Board Games Society,ouboardgames@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
C.S. Lewis Society,cslewis.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
CapitOx,admin@capitox.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Chabad,info@oxfordchabad.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Cherwell,chairman@ospl.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
China Britain Arts Association,bella.oxon@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Classic & Historic Racing Car Club,chrcc@hotmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Codelaborate,hello@codelaborate.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Companions of the Order of Malta,blessed.gerard.opn@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Cortex Club,Kim.korrell@dpag.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Crown Christian Student Society,betweenacuppa@yahoo.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Curious Grin Productions,curiousgrinproductions@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
